OBJECTID,省,省代码,市,市代码,县,县代码,年度,县类型,市类型,省类型,x,y,县代码_,area,人口,dem,road,crop_lv,bare_lv,pop_lv,Shape_Length,Shape_Area,black_revise,forest_lv,gaia_c_lv,pop,worldpop,landscan,city_lv,town_lv,gj_lv,geo_subdivision6,lake_lv
1778,宁夏回族自治区,640000,吴忠市,640300,青铜峡市,640381,0,县级市,地级市,自治区,105.9509964,37.9403992,640381,1908.6700439,244309.000000000000000,1236.056768559999900,0.129157737213000,0.322069180408398,0.178651476553277,127.999306676211280,289969.862788156550000,1908674401.010680900000000,31.470067771084338,0.024177303355441,0.086746697033463,244309.000000000000000,313503.992209672930000,182966.000000000000000,0.007215845716120,0.029647539658957,0.023673707771254,4.000000000000000,0.031326631757845
1779,宁夏回族自治区,640000,吴忠市,640300,同心县,640324,0,县,地级市,自治区,106.2529984,36.9780998,640324,4423.9101563,320801.000000000000000,1614.840107190000000,0.089297166195500,0.435608392201850,0.026767581693747,72.515185466132763,561478.130880920330000,4423914769.546108200000000,22.276971749968045,0.067745021233931,0.030381281512300,320801.000000000000000,341496.486287832260000,227321.000000000000000,0.003762821136291,0.032491765209742,0.002182501359761,4.000000000000000,0.004657012482155
1780,宁夏回族自治区,640000,吴忠市,640300,盐池县,640323,0,县,地级市,自治区,107.0559998,37.6245003,640323,6550.3300781,159209.000000000000000,1491.670016750000100,0.092803598645300,0.245948203430200,0.114799424019272,24.305486901193571,539085.695860048520000,6550331645.163698200000000,37.377466850595425,0.073442464604856,0.018661894789748,159209.000000000000000,164589.408209323880000,100975.000000000000000,0.002713740458183,0.015311728540348,0.011002388871899,4.000000000000000,0.001818699757719
1781,宁夏回族自治区,640000,银川市,640100,贺兰县,640122,0,县,地级市,自治区,106.2480011,38.6833992,640122,1199.7600098,341507.000000000000000,1316.695561360000100,0.155656665537000,0.498004670301168,0.121619285531037,284.645420934397580,233426.354793271020000,1199762844.871856700000000,64.556798338760672,0.096803631231308,0.133716176230757,341507.000000000000000,320092.047450542450000,159759.000000000000000,0.018357628004685,0.038116532942712,0.007562244520890,4.000000000000000,0.037844748156721
1782,宁夏回族自治区,640000,银川市,640100,金凤区,640106,0,市辖区,地级市,自治区,106.1920013,38.4628983,640106,276.9800110,643952.000000000000000,1114.093394080000100,0.184476937491000,0.533407407177479,0.034507926243610,2324.905641392067100,109682.575970065850000,276979843.196743910000000,212.829837807606250,0.005023470242243,0.664602513581624,643952.000000000000000,373094.733154296870000,206098.000000000000000,0.159253104814085,0.094906545171692,0.030472253513425,1.000000000000000,0.056381502095312
1783,宁夏回族自治区,640000,银川市,640100,灵武市,640181,0,县级市,地级市,自治区,106.5419998,37.9860992,640181,2956.3601074,294156.000000000000000,1299.342554569999900,0.118539777797000,0.147292634143285,0.197505907607935,99.499259133072883,284996.139563018510000,2956363721.327695400000000,129.408811852822000,0.072986012662575,0.077316501468009,294156.000000000000000,335171.390088796620000,166390.000000000000000,0.005572555190402,0.017742065910768,0.058152146422224,4.000000000000000,0.013616637030222
1784,宁夏回族自治区,640000,银川市,640100,西夏区,640105,0,市辖区,地级市,自治区,106.0230026,38.5414009,640105,885.0089722,449559.000000000000000,1365.172585230000100,0.123376817925000,0.373031329358832,0.154316342450167,507.970926530404650,147114.057471758920000,885009311.597071530000000,158.282835850321360,0.104686695140877,0.232387724405815,449559.000000000000000,482771.457868337630000,230307.000000000000000,0.039445008705054,0.026827853321853,0.039764327379215,4.000000000000000,0.018374148372043
1785,宁夏回族自治区,640000,银川市,640100,兴庆区,640104,0,市辖区,地级市,自治区,106.4869995,38.4651985,640104,645.0549927,808282.000000000000000,1142.337548640000000,0.160122602719000,0.347620164380506,0.116797495477088,1253.043679377061200,175137.353709958230000,645054927.695600990000000,188.412970859985790,0.012028278006833,0.366007900820831,808282.000000000000000,977852.213393211360000,506323.000000000000000,0.063757826247330,0.068914596403142,0.025511780925059,4.000000000000000,0.053042513533122
1786,宁夏回族自治区,640000,银川市,640100,永宁县,640121,0,县,地级市,自治区,106.0879974,38.2969017,640121,923.3839722,321618.000000000000000,1203.930536450000100,0.150235546511000,0.557239482169362,0.135695286744690,348.303510503713480,206558.999671851110000,923384319.425546050000000,56.879338026429544,0.037400245242939,0.194084192496893,321618.000000000000000,283712.391239404680000,160683.000000000000000,0.005655066790877,0.062970854904894,0.016470065258918,1.000000000000000,0.020291164609365
1787,宁夏回族自治区,640000,中卫市,640500,海原县,640522,0,县,地级市,自治区,105.7910004,36.5163002,640522,4995.2202148,333518.000000000000000,1845.810627249999900,0.076631806986000,0.415591189295378,0.004283953027605,66.767391730603478,471406.470194069670000,4995222837.904102300000000,20.000782166601486,0.034955377500889,0.022568903061650,333518.000000000000000,466454.883860826490000,309778.000000000000000,0.000998694184801,0.015203826228474,0.000489707882787,4.000000000000000,0.006497149336013
1788,宁夏回族自治区,640000,中卫市,640500,沙坡头区,640502,0,市辖区,地级市,自治区,105.1340027,37.2863998,640502,5367.6098633,399796.000000000000000,1621.388531160000000,0.079389375832300,0.182845536925299,0.248634638539678,74.483043989774245,567351.428039997580000,5367610916.316577000000000,45.509175756534688,0.018190271523444,0.045384548879927,399796.000000000000000,448161.883715681730000,309559.000000000000000,0.003492112280907,0.010292064917013,0.010570065693013,4.000000000000000,0.010347078379015
1789,宁夏回族自治区,640000,中卫市,640500,中宁县,640521,0,县,地级市,自治区,105.6640015,37.3139000,640521,3277.5700684,334022.000000000000000,1417.673008320000000,0.125130622525000,0.269335115248817,0.095014968235065,101.911545639022170,472435.986873316580000,3277567795.734639600000000,40.280726485919416,0.011914353091588,0.059012692354285,334022.000000000000000,359027.604109168050000,213396.000000000000000,0.003435992999033,0.013285125652219,0.020642594819258,4.000000000000000,0.015075716694424
1790,青海省,630000,果洛藏族自治州,632600,班玛县,632622,0,县,自治州,省,100.5240021,32.9308014,632622,6399.4501953,31794.000000000000000,4198.148425110000100,0.016599649437500,0.004023484876306,0.006692494488055,4.968237584803210,607223.601317405820000,6399452412.914216000000000,59.743561030235163,0.231093647483901,0.000832289961130,31794.000000000000000,35806.642868395895000,18479.000000000000000,0.000250052644625,0.000355811693420,0.000026158488133,4.000000000000000,0.002422992837858
